Superlattice vectors (celldm1 units):
S1 -54.810000 38.877612 4.344408
S2 -54.810000 38.877612 7.434640
Mo -56.376000 37.973482 5.889524
S1 -56.376000 41.590004 4.344408
S2 -56.376000 41.590004 7.434640
Mo -57.942000 40.685873 5.889524
S1 -57.942000 44.302395 4.344408
S2 -57.942000 44.302395 7.434640
Mo -59.508000 43.398265 5.889524
S1 -59.508000 47.014787 4.344408
S2 -59.508000 47.014787 7.434640
Mo -61.074000 46.110656 5.889524
S1 -61.074000 49.727178 4.344408
S2 -61.074000 49.727178 7.434640
Mo -62.640000 48.823048 5.889524
S1 -62.640000 52.439570 4.344408
S2 -62.640000 52.439570 7.434640
Mo -64.206000 51.535440 5.889524
S1 -64.206000 55.151962 4.344408
S2 -64.206000 55.151962 7.434640
Mo -65.772000 54.247831 5.889524
S1 -65.772000 57.864353 4.344408
S2 -65.772000 57.864353 7.434640
Mo -67.338000 56.960223 5.889524
S1 -67.338000 60.576745 4.344408
S2 -67.338000 60.576745 7.434640
Mo -68.904000 59.672614 5.889524
S1 -68.904000 63.289136 4.344408
S2 -68.904000 63.289136 7.434640
Mo -70.470000 62.385006 5.889524
S1 -70.470000 66.001528 4.344408
S2 -70.470000 66.001528 7.434640
Mo -72.036000 65.097397 5.889524
S1 -72.036000 68.713919 4.344408
S2 -72.036000 68.713919 7.434640
Mo -73.602000 67.809789 5.889524
S1 -73.602000 71.426311 4.344408
S2 -73.602000 71.426311 7.434640
Mo -75.168000 70.522180 5.889524
S1 -75.168000 74.138702 4.344408
S2 -75.168000 74.138702 7.434640
Mo -76.734000 73.234572 5.889524
S1 -76.734000 76.851094 4.344408
S2 -76.734000 76.851094 7.434640
Mo -78.300000 75.946963 5.889524
S1 -78.300000 79.563486 4.344408
S2 -78.300000 79.563486 7.434640
Mo -79.866000 78.659355 5.889524
S1 -79.866000 82.275877 4.344408
S2 -79.866000 82.275877 7.434640
Mo -81.432000 81.371747 5.889524
