Superlattice vectors (celldm1 units):
Mo -21.812000 37.779492 5.889524
S1 -21.812000 41.377539 4.344408
S2 -21.812000 41.377539 7.434640
Mo -23.370000 40.478027 5.889524
Mo -24.928000 43.176562 5.889524
Mo -4.674000 13.492676 5.889524
S1 -4.674000 17.090723 4.344408
S2 -4.674000 17.090723 7.434640
Mo -6.232000 16.191211 5.889524
S1 -6.232000 19.789258 4.344408
S2 -6.232000 19.789258 7.434640
Mo -7.790000 18.889746 5.889524
S1 -7.790000 22.487793 4.344408
S2 -7.790000 22.487793 7.434640
Mo -9.348000 21.588281 5.889524
S1 -9.348000 25.186328 4.344408
S2 -9.348000 25.186328 7.434640
Mo -10.906000 24.286816 5.889524
S1 -10.906000 27.884863 4.344408
S2 -10.906000 27.884863 7.434640
Mo -12.464000 26.985351 5.889524
S1 -12.464000 30.583398 4.344408
S2 -12.464000 30.583398 7.434640
Mo -14.022000 29.683887 5.889524
S1 -14.022000 33.281933 4.344408
S2 -14.022000 33.281933 7.434640
Mo -15.580000 32.382422 5.889524
S1 -15.580000 35.980469 4.344408
S2 -15.580000 35.980469 7.434640
Mo -17.138000 35.080957 5.889524
S1 -17.138000 38.679004 4.344408
S2 -17.138000 38.679004 7.434640
Mo -18.696000 37.779492 5.889524
Mo -20.254000 40.478027 5.889524
Mo -4.674000 18.889746 5.889524
S1 -4.674000 22.487793 4.344408
S2 -4.674000 22.487793 7.434640
Mo -6.232000 21.588281 5.889524
S1 -6.232000 25.186328 4.344408
S2 -6.232000 25.186328 7.434640
Mo -7.790000 24.286816 5.889524
S1 -7.790000 27.884863 4.344408
S2 -7.790000 27.884863 7.434640
Mo -9.348000 26.985351 5.889524
S1 -9.348000 30.583398 4.344408
S2 -9.348000 30.583398 7.434640
Mo -10.906000 29.683887 5.889524
S1 -10.906000 33.281933 4.344408
S2 -10.906000 33.281933 7.434640
Mo -12.464000 32.382422 5.889524
S1 -12.464000 35.980469 4.344408
S2 -12.464000 35.980469 7.434640
Mo -14.022000 35.080957 5.889524
Mo -15.580000 37.779492 5.889524
Mo -4.674000 24.286816 5.889524
S1 -4.674000 27.884863 4.344408
S2 -4.674000 27.884863 7.434640
Mo -6.232000 26.985351 5.889524
S1 -6.232000 30.583398 4.344408
S2 -6.232000 30.583398 7.434640
Mo -7.790000 29.683887 5.889524
S1 -7.790000 33.281933 4.344408
S2 -7.790000 33.281933 7.434640
Mo -9.348000 32.382422 5.889524
S1 -9.348000 35.980469 4.344408
S2 -9.348000 35.980469 7.434640
Mo -10.906000 35.080957 5.889524
Mo -4.674000 29.683887 5.889524
S1 -4.674000 33.281933 4.344408
S2 -4.674000 33.281933 7.434640
Mo -6.232000 32.382422 5.889524
Mo -7.790000 35.080957 5.889524
Number of points in layer 1: 381
Layer 2 points (Angstrom):
S1 -32.632129 15.157120 10.244408
S2 -32.632129 15.157120 13.334640
S1 -27.737310 12.883552 10.244408
S2 -27.737310 12.883552 13.334640
Mo -29.368916 13.641408 11.789524
S1 -29.528397 15.433348 10.244408
S2 -29.528397 15.433348 13.334640
Mo -31.160003 16.191204 11.789524
S1 -31.319484 17.983145 10.244408
S2 -31.319484 17.983145 13.334640
Mo -32.951091 18.741001 11.789524
S1 -33.110571 20.532942 10.244408
S2 -33.110571 20.532942 13.334640
S1 -21.051403 8.060187 10.244408
S2 -21.051403 8.060187 13.334640
Mo -22.683010 8.818043 11.789524
S1 -22.842490 10.609984 10.244408
S2 -22.842490 10.609984 13.334640
Mo -24.474097 11.367840 11.789524
S1 -24.633578 13.159780 10.244408
S2 -24.633578 13.159780 13.334640
Mo -26.265184 13.917636 11.789524
S1 -26.424665 15.709577 10.244408
S2 -26.424665 15.709577 13.334640
Mo -28.056271 16.467433 11.789524
S1 -28.215752 18.259374 10.244408
S2 -28.215752 18.259374 13.334640
Mo -29.847358 19.017230 11.789524
S1 -30.006839 20.809170 10.244408
S2 -30.006839 20.809170 13.334640
Mo -31.638445 21.567026 11.789524
S1 -31.797926 23.358967 10.244408
S2 -31.797926 23.358967 13.334640
Mo -33.429533 24.116823 11.789524
S1 -33.589013 25.908763 10.244408
S2 -33.589013 25.908763 13.334640
S1 -16.156584 5.786619 10.244408
S2 -16.156584 5.786619 13.334640
Mo -17.788190 6.544475 11.789524
S1 -17.947671 8.336416 10.244408
S2 -17.947671 8.336416 13.334640
Mo -19.579278 9.094272 11.789524
S1 -19.738758 10.886212 10.244408
S2 -19.738758 10.886212 13.334640
Mo -21.370365 11.644068 11.789524
S1 -21.529845 13.436009 10.244408
S2 -21.529845 13.436009 13.334640
Mo -23.161452 14.193865 11.789524
S1 -23.320932 15.985806 10.244408
S2 -23.320932 15.985806 13.334640
Mo -24.952539 16.743662 11.789524
S1 -25.112020 18.535602 10.244408
S2 -25.112020 18.535602 13.334640
Mo -26.743626 19.293458 11.789524
S1 -26.903107 21.085399 10.244408
S2 -26.903107 21.085399 13.334640
Mo -28.534713 21.843255 11.789524
S1 -28.694194 23.635195 10.244408
S2 -28.694194 23.635195 13.334640
Mo -30.325800 24.393051 11.789524
S1 -30.485281 26.184992 10.244408
S2 -30.485281 26.184992 13.334640
Mo -32.116888 26.942848 11.789524
S1 -32.276368 28.734789 10.244408
S2 -32.276368 28.734789 13.334640
Mo -33.907975 29.492645 11.789524
S1 -34.067455 31.284585 10.244408
S2 -34.067455 31.284585 13.334640
S1 -11.261765 3.513051 10.244408
S2 -11.261765 3.513051 13.334640
Mo -12.893371 4.270907 11.789524
S1 -13.052852 6.062848 10.244408
S2 -13.052852 6.062848 13.334640
Mo -14.684458 6.820704 11.789524
S1 -14.843939 8.612644 10.244408
S2 -14.843939 8.612644 13.334640
Mo -16.475545 9.370500 11.789524
S1 -16.635026 11.162441 10.244408
S2 -16.635026 11.162441 13.334640
Mo -18.266632 11.920297 11.789524
S1 -18.426113 13.712238 10.244408
S2 -18.426113 13.712238 13.334640
Mo -20.057720 14.470094 11.789524
S1 -20.217200 16.262034 10.244408
S2 -20.217200 16.262034 13.334640
Mo -21.848807 17.019890 11.789524
S1 -22.008287 18.811831 10.244408
S2 -22.008287 18.811831 13.334640
Mo -23.639894 19.569687 11.789524
S1 -23.799375 21.361628 10.244408
S2 -23.799375 21.361628 13.334640
Mo -25.430981 22.119484 11.789524
S1 -25.590462 23.911424 10.244408
S2 -25.590462 23.911424 13.334640
Mo -27.222068 24.669280 11.789524
S1 -27.381549 26.461221 10.244408
S2 -27.381549 26.461221 13.334640
Mo -29.013155 27.219077 11.789524
S1 -29.172636 29.011017 10.244408
S2 -29.172636 29.011017 13.334640
Mo -30.804242 29.768873 11.789524
S1 -30.963723 31.560814 10.244408
S2 -30.963723 31.560814 13.334640
Mo -32.595330 32.318670 11.789524
S1 -32.754810 34.110611 10.244408
S2 -32.754810 34.110611 13.334640
Mo -34.386417 34.868467 11.789524
S1 -34.545897 36.660407 10.244408
S2 -34.545897 36.660407 13.334640
S1 -6.366945 1.239483 10.244408
S2 -6.366945 1.239483 13.334640
Mo -7.998552 1.997339 11.789524
S1 -8.158032 3.789280 10.244408
S2 -8.158032 3.789280 13.334640
Mo -9.789639 4.547136 11.789524
S1 -9.949119 6.339077 10.244408
S2 -9.949119 6.339077 13.334640
Mo -11.580726 7.096933 11.789524
S1 -11.740207 8.888873 10.244408
S2 -11.740207 8.888873 13.334640
Mo -13.371813 9.646729 11.789524
S1 -13.531294 11.438670 10.244408
S2 -13.531294 11.438670 13.334640
Mo -15.162900 12.196526 11.789524
S1 -15.322381 13.988466 10.244408
S2 -15.322381 13.988466 13.334640
Mo -16.953987 14.746322 11.789524
S1 -17.113468 16.538263 10.244408
S2 -17.113468 16.538263 13.334640
Mo -18.745074 17.296119 11.789524
S1 -18.904555 19.088060 10.244408
S2 -18.904555 19.088060 13.334640
Mo -20.536162 19.845916 11.789524
S1 -20.695642 21.637856 10.244408
S2 -20.695642 21.637856 13.334640
Mo -22.327249 22.395712 11.789524
S1 -22.486729 24.187653 10.244408
S2 -22.486729 24.187653 13.334640
Mo -24.118336 24.945509 11.789524
S1 -24.277817 26.737449 10.244408
S2 -24.277817 26.737449 13.334640
Mo -25.909423 27.495305 11.789524
S1 -26.068904 29.287246 10.244408
S2 -26.068904 29.287246 13.334640
Mo -27.700510 30.045102 11.789524
S1 -27.859991 31.837043 10.244408
S2 -27.859991 31.837043 13.334640
Mo -29.491597 32.594899 11.789524
S1 -29.651078 34.386839 10.244408
S2 -29.651078 34.386839 13.334640
Mo -31.282685 35.144695 11.789524
S1 -31.442165 36.936636 10.244408
S2 -31.442165 36.936636 13.334640
Mo -33.073772 37.694492 11.789524
S1 -33.233252 39.486432 10.244408
S2 -33.233252 39.486432 13.334640
Mo -34.864859 40.244288 11.789524
Mo -3.103732 -0.276229 11.789524
S1 -3.263213 1.515712 10.244408
S2 -3.263213 1.515712 13.334640
Mo -4.894819 2.273568 11.789524
S1 -5.054300 4.065509 10.244408
S2 -5.054300 4.065509 13.334640
Mo -6.685907 4.823365 11.789524
S1 -6.845387 6.615305 10.244408
S2 -6.845387 6.615305 13.334640
Mo -8.476994 7.373161 11.789524
S1 -8.636474 9.165102 10.244408
S2 -8.636474 9.165102 13.334640
Mo -10.268081 9.922958 11.789524
S1 -10.427562 11.714898 10.244408
S2 -10.427562 11.714898 13.334640
Mo -12.059168 12.472754 11.789524
S1 -12.218649 14.264695 10.244408
S2 -12.218649 14.264695 13.334640
Mo -13.850255 15.022551 11.789524
S1 -14.009736 16.814492 10.244408
S2 -14.009736 16.814492 13.334640
Mo -15.641342 17.572348 11.789524
S1 -15.800823 19.364288 10.244408
S2 -15.800823 19.364288 13.334640
Mo -17.432429 20.122144 11.789524
S1 -17.591910 21.914085 10.244408
S2 -17.591910 21.914085 13.334640
Mo -19.223517 22.671941 11.789524
S1 -19.382997 24.463881 10.244408
S2 -19.382997 24.463881 13.334640
Mo -21.014604 25.221737 11.789524
S1 -21.174084 27.013678 10.244408
S2 -21.174084 27.013678 13.334640
Mo -22.805691 27.771534 11.789524
S1 -22.965172 29.563475 10.244408
S2 -22.965172 29.563475 13.334640
Mo -24.596778 30.321331 11.789524
S1 -24.756259 32.113271 10.244408
S2 -24.756259 32.113271 13.334640
Mo -26.387865 32.871127 11.789524
S1 -26.547346 34.663068 10.244408
S2 -26.547346 34.663068 13.334640
Mo -28.178952 35.420924 11.789524
S1 -28.338433 37.212865 10.244408
S2 -28.338433 37.212865 13.334640
Mo -29.970039 37.970721 11.789524
S1 -30.129520 39.762661 10.244408
S2 -30.129520 39.762661 13.334640
Mo -31.761127 40.520517 11.789524
S1 -31.920607 42.312458 10.244408
S2 -31.920607 42.312458 13.334640
Mo -33.552214 43.070314 11.789524
S1 -33.711694 44.862254 10.244408
S2 -33.711694 44.862254 13.334640
Mo -3.582174 5.099593 11.789524
S1 -3.741655 6.891534 10.244408
S2 -3.741655 6.891534 13.334640
Mo -5.373261 7.649390 11.789524
S1 -5.532742 9.441330 10.244408
S2 -5.532742 9.441330 13.334640
Mo -7.164349 10.199186 11.789524
S1 -7.323829 11.991127 10.244408
S2 -7.323829 11.991127 13.334640
Mo -8.955436 12.748983 11.789524
S1 -9.114916 14.540924 10.244408
S2 -9.114916 14.540924 13.334640
Mo -10.746523 15.298780 11.789524
S1 -10.906004 17.090720 10.244408
S2 -10.906004 17.090720 13.334640
Mo -12.537610 17.848576 11.789524
S1 -12.697091 19.640517 10.244408
S2 -12.697091 19.640517 13.334640
Mo -14.328697 20.398373 11.789524
S1 -14.488178 22.190314 10.244408
S2 -14.488178 22.190314 13.334640
Mo -16.119784 22.948169 11.789524
S1 -16.279265 24.740110 10.244408
S2 -16.279265 24.740110 13.334640
Mo -17.910871 25.497966 11.789524
S1 -18.070352 27.289907 10.244408
S2 -18.070352 27.289907 13.334640
Mo -19.701959 28.047763 11.789524
S1 -19.861439 29.839703 10.244408
S2 -19.861439 29.839703 13.334640
Mo -21.493046 30.597559 11.789524
S1 -21.652526 32.389500 10.244408
S2 -21.652526 32.389500 13.334640
Mo -23.284133 33.147356 11.789524
S1 -23.443614 34.939297 10.244408
S2 -23.443614 34.939297 13.334640
Mo -25.075220 35.697153 11.789524
S1 -25.234701 37.489093 10.244408
S2 -25.234701 37.489093 13.334640
Mo -26.866307 38.246949 11.789524
S1 -27.025788 40.038890 10.244408
S2 -27.025788 40.038890 13.334640
Mo -28.657394 40.796746 11.789524
S1 -28.816875 42.588686 10.244408
S2 -28.816875 42.588686 13.334640
Mo -30.448482 43.346542 11.789524
S1 -30.607962 45.138483 10.244408
S2 -30.607962 45.138483 13.334640
Mo -32.239569 45.896339 11.789524
S1 -32.399049 47.688280 10.244408
S2 -32.399049 47.688280 13.334640
Mo -34.030656 48.446136 11.789524
Mo -4.060616 10.475415 11.789524
S1 -4.220097 12.267356 10.244408
S2 -4.220097 12.267356 13.334640
Mo -5.851704 13.025212 11.789524
S1 -6.011184 14.817152 10.244408
S2 -6.011184 14.817152 13.334640
Mo -7.642791 15.575008 11.789524
S1 -7.802271 17.366949 10.244408
S2 -7.802271 17.366949 13.334640
Mo -9.433878 18.124805 11.789524
S1 -9.593359 19.916746 10.244408
S2 -9.593359 19.916746 13.334640
Mo -11.224965 20.674602 11.789524
S1 -11.384446 22.466542 10.244408
S2 -11.384446 22.466542 13.334640
Mo -13.016052 23.224398 11.789524
S1 -13.175533 25.016339 10.244408
S2 -13.175533 25.016339 13.334640
Mo -14.807139 25.774195 11.789524
S1 -14.966620 27.566135 10.244408
S2 -14.966620 27.566135 13.334640
Mo -16.598226 28.323991 11.789524
S1 -16.757707 30.115932 10.244408
S2 -16.757707 30.115932 13.334640
Mo -18.389314 30.873788 11.789524
S1 -18.548794 32.665729 10.244408
S2 -18.548794 32.665729 13.334640
Mo -20.180401 33.423585 11.789524
S1 -20.339881 35.215525 10.244408
S2 -20.339881 35.215525 13.334640
Mo -21.971488 35.973381 11.789524
S1 -22.130969 37.765322 10.244408
S2 -22.130969 37.765322 13.334640
Mo -23.762575 38.523178 11.789524
S1 -23.922056 40.315118 10.244408
S2 -23.922056 40.315118 13.334640
Mo -25.553662 41.072974 11.789524
S1 -25.713143 42.864915 10.244408
S2 -25.713143 42.864915 13.334640
Mo -27.344749 43.622771 11.789524
S1 -27.504230 45.414712 10.244408
S2 -27.504230 45.414712 13.334640
Mo -29.135836 46.172568 11.789524
Mo -4.539058 15.851237 11.789524
S1 -4.698539 17.643178 10.244408
S2 -4.698539 17.643178 13.334640
Mo -6.330146 18.401034 11.789524
S1 -6.489626 20.192974 10.244408
S2 -6.489626 20.192974 13.334640
Mo -8.121233 20.950830 11.789524
S1 -8.280713 22.742771 10.244408
S2 -8.280713 22.742771 13.334640
Mo -9.912320 23.500627 11.789524
S1 -10.071801 25.292567 10.244408
S2 -10.071801 25.292567 13.334640
Mo -11.703407 26.050423 11.789524
S1 -11.862888 27.842364 10.244408
S2 -11.862888 27.842364 13.334640
Mo -13.494494 28.600220 11.789524
S1 -13.653975 30.392161 10.244408
S2 -13.653975 30.392161 13.334640
Mo -15.285581 31.150017 11.789524
S1 -15.445062 32.941957 10.244408
S2 -15.445062 32.941957 13.334640
Mo -17.076668 33.699813 11.789524
S1 -17.236149 35.491754 10.244408
S2 -17.236149 35.491754 13.334640
Mo -18.867756 36.249610 11.789524
S1 -19.027236 38.041551 10.244408
S2 -19.027236 38.041551 13.334640
Mo -20.658843 38.799406 11.789524
S1 -20.818323 40.591347 10.244408
S2 -20.818323 40.591347 13.334640
Mo -22.449930 41.349203 11.789524
Mo -5.017501 21.227059 11.789524
S1 -5.176981 23.018999 10.244408
S2 -5.176981 23.018999 13.334640
Mo -6.808588 23.776855 11.789524
S1 -6.968068 25.568796 10.244408
S2 -6.968068 25.568796 13.334640
Mo -8.599675 26.326652 11.789524
S1 -8.759156 28.118593 10.244408
S2 -8.759156 28.118593 13.334640
Mo -10.390762 28.876449 11.789524
S1 -10.550243 30.668389 10.244408
